sequence,target,function
"[4, 4, 13, 8, 17, 21]",25,padovan
"[20, 17, 37, 54, 91, 145]",236,fibonacci
"[83, 78, 87, 82, 91, 86]",95,alternating_add_subtract
"[90, 50, 10, -30, -70, -110]",-150,arithmetic
"[2, 4, 8, 14, 22, 32]",44,step_up
"[23, 53, 83, 113, 143, 173]",203,arithmetic
"[1, 21, 105, 125, 625, 645]",3225,alternating_sequence
"[28, 35, 105, 112, 336, 343]",1029,alternating_sequence
"[10, 1, 4, 11, 5, 15]",16,padovan
"[31, 1, 47, 79, 127, 253]",459,tribonacci
"[9, 18, 72, 81, 324, 333]",1332,alternating_sequence
"[8, 5, 18, 41, 100, 241]",582,pell
"[11, 2, 8, 13, 10, 21]",23,padovan
"[35, 111, 339, 1023, 3075, 9231]",27699,linear_recursive
"[33, 40, 120, 127, 381, 388]",1164,alternating_sequence
"[21, 28, 36, 45, 55, 66]",78,triangular_sequence_randomized
"[1, 9, 7, 10, 16, 17]",26,padovan
"[11, 10, 3, 21, 13, 24]",34,padovan
"[7, 26, 10, 43, 79, 132]",254,tribonacci
"[17, 102, 527, 2652, 13277, 66402]",332027,linear_recursive
"[5, 45, 95, 235, 565, 1365]",3295,pell
"[12, 11, 5, 17, 28, 33]",50,generate_sequence
"[18, 1, 11, 19, 12, 30]",31,padovan
"[15, 5, 6, 20, 11, 26]",31,padovan
"[64, 66, 70, 76, 84, 94]",106,step_up
"[17, 2, 12, 19, 14, 31]",33,padovan
"[30, 33, 39, 48, 60, 75]",93,step_up
"[19, 18, 16, 37, 34, 53]",71,padovan
"[62, 85, 108, 131, 154, 177]",200,arithmetic
"[2, 7, 40, 49, 96, 185]",330,tribonacci
"[2, 1, -1, -4, -9, -17]",-30,fib_minus_const
"[31, 135, 551, 2215, 8871, 35495]",141991,linear_recursive
"[44, 182, 734, 2942, 11774, 47102]",188414,linear_recursive
"[17, 5, 16, 33, 38, 54]",87,generate_sequence
"[9, 28, 43, 80, 151, 274]",505,tribonacci
"[36, 49, 134, 317, 768, 1853]",4474,pell
"[93, 88, 97, 92, 101, 96]",105,alternating_add_subtract
"[25, -24, -73, -122, -171, -220]",-269,arithmetic
"[33, 50, 100, 117, 234, 251]",502,alternating_sequence
"[9, 8, 9, 17, 17, 26]",34,padovan
"[4, 11, 5, 15, 16, 20]",31,padovan
"[26, 33, 99, 106, 318, 325]",975,alternating_sequence
"[3, 8, 7, 11, 14, 21]",31,fib_minus_const
"[49, 40, 48, 39, 47, 38]",46,alternating_add_subtract
"[5, 28, 33, 61, 94, 155]",249,fibonacci
"[7, 33, 40, 73, 113, 186]",299,fibonacci
"[64, 69, 79, 94, 114, 139]",169,step_up
"[14, 1, 19, 33, 34, 53]",86,generate_sequence
"[19, 39, 117, 137, 411, 431]",1293,alternating_sequence
"[52, 55, 61, 70, 82, 97]",115,step_up
"[34, 84, 184, 384, 784, 1584]",3184,linear_recursive
"[8, 11, 17, 26, 38, 53]",71,step_up
"[18, 14, 7, 32, 21, 39]",53,padovan
"[12, 13, 15, 25, 28, 40]",53,padovan
"[13, 13, 16, 26, 29, 42]",55,padovan
"[17, 16, 49, 114, 277, 668]",1613,pell
"[15, 5, -5, -15, -25, -35]",-45,arithmetic
"[17, 31, 124, 138, 552, 566]",2264,alternating_sequence
"[48, 44, 136, 316, 768, 1852]",4472,pell
"[36, 155, 631, 2535, 10151, 40615]",162471,linear_recursive
"[54, 104, 154, 204, 254, 304]",354,arithmetic
"[19, 8, 20, 39, 47, 67]",106,generate_sequence
"[9, 12, 19, 21, 31, 40]",52,padovan
"[14, 16, 20, 26, 34, 44]",56,step_up
"[27, 9, 17, 53, 79, 149]",281,tribonacci
"[75, 98, 121, 144, 167, 190]",213,arithmetic
"[7, 40, 47, 87, 134, 221]",355,fibonacci
"[4, 17, 20, 21, 37, 41]",58,padovan
"[18, 12, 15, 30, 27, 45]",57,padovan
"[61, 54, 55, 48, 49, 42]",43,alternating_add_subtract
"[61, 63, 67, 73, 81, 91]",103,step_up
"[85, 79, 73, 67, 61, 55]",49,arithmetic
"[57, 48, 53, 44, 49, 40]",45,alternating_add_subtract
"[48, 53, 63, 78, 98, 123]",153,step_up
"[10, 20, 14, 24, 44, 58]",82,generate_sequence
"[5, 7, 19, 24, 31, 50]",74,generate_sequence
"[34, 38, 114, 118, 354, 358]",1074,alternating_sequence
"[47, 149, 455, 1373, 4127, 12389]",37175,linear_recursive
"[2, -40, -82, -124, -166, -208]",-250,arithmetic
"[17, 4, 5, 21, 9, 26]",30,padovan
"[40, 21, 11, 72, 104, 187]",363,tribonacci
"[13, 18, 90, 95, 475, 480]",2400,alternating_sequence
"[2, 9, 20, 49, 118, 285]",688,pell
"[1, 19, 6, 20, 25, 26]",45,padovan
"[7, 20, 40, 53, 106, 119]",238,alternating_sequence
"[8, 9, 14, 22, 31, 45]",67,generate_sequence
"[75, 76, 78, 81, 85, 90]",96,step_up
"[19, 15, 11, 7, 3, -1]",-5,arithmetic
"[18, 11, 17, 35, 46, 63]",98,generate_sequence
"[35, 40, 50, 65, 85, 110]",140,step_up
"[29, -19, -67, -115, -163, -211]",-259,arithmetic
"[13, 10, 18, 23, 28, 41]",51,padovan
"[21, 10, 41, 92, 225, 542]",1309,pell
"[42, -5, -52, -99, -146, -193]",-240,arithmetic
"[55, 57, 61, 67, 75, 85]",97,step_up
"[1, 13, 65, 77, 385, 397]",1985,alternating_sequence
"[20, 3, 8, 23, 11, 31]",34,padovan
"[2, 21, 59, 135, 287, 591]",1199,linear_recursive
"[46, 39, 46, 39, 46, 39]",46,alternating_add_subtract
"[13, 46, 16, 75, 137, 228]",440,tribonacci
"[22, 51, 109, 225, 457, 921]",1849,linear_recursive
"[43, 53, 265, 275, 1375, 1385]",6925,alternating_sequence
"[10, 9, 22, 41, 72, 135]",248,tribonacci
"[55, 66, 78, 91, 105, 120]",136,triangular_sequence_randomized
"[44, 37, 30, 23, 16, 9]",2,arithmetic
"[11, 4, 1, 12, 16, 17]",29,generate_sequence
"[3, 18, 14, 17, 35, 49]",66,generate_sequence
"[6, 20, 2, 26, 22, 28]",48,padovan
"[92, 122, 152, 182, 212, 242]",272,arithmetic
"[37, -13, -63, -113, -163, -213]",-263,arithmetic
"[22, 23, 41, 86, 150, 277]",513,tribonacci
"[13, 9, 40, 62, 111, 213]",386,tribonacci
"[78, 64, 50, 36, 22, 8]",-6,arithmetic
"[3, 9, 19, 12, 28, 31]",40,padovan
"[19, 7, 26, 33, 59, 92]",151,fibonacci
"[15, 19, 34, 53, 87, 140]",227,fibonacci
"[26, 33, 165, 172, 860, 867]",4335,alternating_sequence
"[17, -33, -83, -133, -183, -233]",-283,arithmetic
"[4, 5, 4, 4, 3, 2]",0,fib_minus_const
"[39, 49, 147, 157, 471, 481]",1443,alternating_sequence
"[21, 18, 26, 23, 31, 28]",36,alternating_add_subtract
"[54, 51, 60, 57, 66, 63]",72,alternating_add_subtract
"[1, 4, 12, 15, 45, 48]",144,alternating_sequence
"[18, 27, 34, 79, 140, 253]",472,tribonacci
"[2, 25, 6, 33, 64, 103]",200,tribonacci
"[153, 171, 190, 210, 231, 253]",276,triangular_sequence_randomized
"[10, 5, 19, 15, 24, 34]",39,padovan
"[36, 192, 972, 4872, 24372, 121872]",609372,linear_recursive
"[2, -2, 0, -4, -2, -6]",-4,alternating_add_subtract
"[21, 122, 627, 3152, 15777, 78902]",394527,linear_recursive
"[13, 63, 263, 1063, 4263, 17063]",68263,linear_recursive
"[33, 19, 27, 79, 125, 231]",435,tribonacci
"[36, 39, 13, 88, 140, 241]",469,tribonacci
"[71, 87, 103, 119, 135, 151]",167,arithmetic
"[20, 38, 152, 170, 680, 698]",2792,alternating_sequence
"[2, 21, 44, 109, 262, 633]",1528,pell
"[27, 28, 112, 113, 452, 453]",1812,alternating_sequence
"[5, 3, 6, 7, 11, 16]",25,fib_minus_const
"[7, 9, 13, 19, 27, 37]",49,step_up
"[9, 18, 6, 15, 33, 39]",54,generate_sequence
"[4, 16, 43, 63, 122, 228]",413,tribonacci
"[32, 22, 12, 2, -8, -18]",-28,arithmetic
"[19, 4, 20, 23, 24, 43]",47,padovan
"[62, 63, 64, 65, 66, 67]",68,arithmetic
"[18, 5, 4, 23, 9, 27]",32,padovan
"[19, 4, 16, 23, 20, 39]",43,padovan
"[11, 19, 6, 30, 25, 36]",55,padovan
"[40, 39, 118, 275, 668, 1611]",3890,pell
"[17, 14, 2, 31, 16, 33]",47,padovan
"[28, 14, 42, 56, 98, 154]",252,fibonacci
"[96, 47, -2, -51, -100, -149]",-198,arithmetic
"[4, 7, 10, 13, 16, 19]",22,arithmetic
"[6, 10, 17, 16, 27, 33]",43,padovan
"[13, 17, 10, 23, 40, 50]",73,generate_sequence
"[5, 1, 4, 0, 3, -1]",2,alternating_add_subtract
"[68, 73, 83, 98, 118, 143]",173,step_up
"[42, 80, 118, 156, 194, 232]",270,arithmetic
"[58, 66, 74, 82, 90, 98]",106,arithmetic
"[59, 31, 3, -25, -53, -81]",-109,arithmetic
"[13, 14, 1, 27, 15, 28]",42,padovan
"[28, 33, 61, 94, 155, 249]",404,fibonacci
"[4, -34, -72, -110, -148, -186]",-224,arithmetic
"[37, 202, 1027, 5152, 25777, 128902]",644527,linear_recursive
"[42, 37, 46, 41, 50, 45]",54,alternating_add_subtract
"[11, 19, 12, 23, 42, 54]",77,generate_sequence
"[91, 109, 127, 145, 163, 181]",199,arithmetic
"[39, 12, -15, -42, -69, -96]",-123,arithmetic
"[12, 5, 13, 6, 14, 7]",15,alternating_add_subtract
"[13, 2, 21, 36, 59, 116]",211,tribonacci
"[20, 40, 80, 100, 200, 220]",440,alternating_sequence
"[26, 34, 136, 144, 576, 584]",2336,alternating_sequence
"[42, 7, 31, 80, 118, 229]",427,tribonacci
"[20, 42, 86, 174, 350, 702]",1406,linear_recursive
"[14, 14, 3, 17, 31, 34]",51,generate_sequence
"[90, 134, 178, 222, 266, 310]",354,arithmetic
"[27, -9, -45, -81, -117, -153]",-189,arithmetic
"[32, 10, 6, 48, 64, 118]",230,tribonacci
"[17, 7, 14, 4, 11, 1]",8,alternating_add_subtract
"[28, 36, 45, 55, 66, 78]",91,triangular_sequence_randomized
"[62, 32, 2, -28, -58, -88]",-118,arithmetic
"[62, 59, 67, 64, 72, 69]",77,alternating_add_subtract
"[48, 54, 108, 114, 228, 234]",468,alternating_sequence
"[12, 4, 17, 16, 21, 33]",37,padovan
"[11, 4, 9, 20, 24, 33]",53,generate_sequence
"[17, 20, 26, 35, 47, 62]",80,step_up
"[3, 11, 35, 107, 323, 971]",2915,linear_recursive
"[6, 6, 12, 18, 30, 48]",78,fibonacci
"[16, 12, 11, 28, 23, 39]",51,padovan
"[25, 29, 54, 83, 137, 220]",357,fibonacci
"[72, 65, 73, 66, 74, 67]",75,alternating_add_subtract
"[10, 17, 17, 27, 44, 61]",88,generate_sequence
"[5, 47, 89, 131, 173, 215]",257,arithmetic
"[3, 21, 39, 57, 75, 93]",111,arithmetic
"[45, 46, 48, 51, 55, 60]",66,step_up
"[54, 97, 140, 183, 226, 269]",312,arithmetic
"[18, 13, 4, 22, 35, 39]",61,generate_sequence
"[11, 4, 7, 0, 3, -4]",-1,alternating_add_subtract
"[19, 49, 79, 109, 139, 169]",199,arithmetic
"[46, 234, 1174, 5874, 29374, 146874]",734374,linear_recursive
"[91, 105, 120, 136, 153, 171]",190,triangular_sequence_randomized
"[5, 4, 5, 5, 6, 7]",9,fib_minus_const
"[75, 70, 71, 66, 67, 62]",63,alternating_add_subtract
"[8, 9, 11, 14, 18, 23]",29,step_up
"[18, 18, 1, 19, 37, 38]",57,generate_sequence
"[1, 19, 76, 94, 376, 394]",1576,alternating_sequence
"[1, 31, 32, 63, 95, 158]",253,fibonacci
"[13, 32, 51, 70, 89, 108]",127,arithmetic
"[10, 20, 8, 30, 28, 38]",58,padovan
"[5, 7, 11, 17, 25, 35]",47,step_up
"[27, 54, 81, 108, 135, 162]",189,arithmetic
"[2, 27, 29, 56, 85, 141]",226,fibonacci
"[1, 39, 47, 87, 173, 307]",567,tribonacci
"[7, 3, 20, 27, 30, 50]",77,generate_sequence
"[34, 29, 92, 213, 518, 1249]",3016,pell
"[9, 19, 15, 28, 34, 43]",62,padovan
"[16, 12, 16, 12, 16, 12]",16,alternating_add_subtract
"[2, 13, 4, 6, 19, 23]",29,generate_sequence
"[58, 63, 73, 88, 108, 133]",163,step_up
"[5, 18, 10, 15, 33, 43]",58,generate_sequence
"[13, 10, 15, 23, 25, 38]",48,padovan
"[6, 11, 2, 17, 13, 19]",30,padovan
"[6, 5, 16, 37, 90, 217]",524,pell
"[27, 28, 55, 83, 138, 221]",359,fibonacci
"[43, 47, 55, 67, 83, 103]",127,step_up
"[33, 13, 59, 131, 321, 773]",1867,pell
"[32, 50, 29, 111, 190, 330]",631,tribonacci
"[10, 6, 7, 17, 23, 30]",47,generate_sequence
"[57, 60, 66, 75, 87, 102]",120,step_up
"[34, 53, 265, 284, 1420, 1439]",7195,alternating_sequence
"[43, 45, 20, 108, 173, 301]",582,tribonacci
"[50, 55, 65, 80, 100, 125]",155,step_up
"[45, 187, 755, 3027, 12115, 48467]",193875,linear_recursive
"[49, 65, 195, 211, 633, 649]",1947,alternating_sequence
"[8, 12, 20, 32, 48, 68]",92,step_up
"[25, 47, 69, 91, 113, 135]",157,arithmetic
"[18, 21, 63, 66, 198, 201]",603,alternating_sequence
"[9, 8, 13, 17, 26, 39]",61,fib_minus_const
"[27, 4, 31, 35, 66, 101]",167,fibonacci
"[16, 64, 208, 640, 1936, 5824]",17488,linear_recursive
"[44, 48, 140, 328, 796, 1920]",4636,pell
"[48, 64, 320, 336, 1680, 1696]",8480,alternating_sequence
"[25, 32, 57, 89, 146, 235]",381,fibonacci
"[1, 8, 24, 31, 93, 100]",300,alternating_sequence
"[16, 25, 41, 66, 107, 173]",280,fibonacci
"[5, 29, 34, 63, 97, 160]",257,fibonacci
"[52, 28, 4, -20, -44, -68]",-92,arithmetic
"[47, 101, 209, 425, 857, 1721]",3449,linear_recursive
"[13, 25, 100, 112, 448, 460]",1840,alternating_sequence
"[30, 20, 26, 16, 22, 12]",18,alternating_add_subtract
"[11, 1, 3, 14, 15, 18]",32,generate_sequence
"[39, 41, 164, 166, 664, 666]",2664,alternating_sequence
"[3, 9, 18, 21, 30, 48]",69,generate_sequence
"[17, 2, 4, 21, 23, 27]",48,generate_sequence
"[92, 133, 174, 215, 256, 297]",338,arithmetic
"[26, 10, 46, 102, 250, 602]",1454,pell
"[45, 37, 46, 38, 47, 39]",48,alternating_add_subtract
"[19, 3, 12, 31, 34, 46]",77,generate_sequence
"[28, 48, 68, 88, 108, 128]",148,arithmetic
"[86, 119, 152, 185, 218, 251]",284,arithmetic
"[7, 5, 12, 17, 29, 46]",75,fibonacci
"[40, 7, 47, 54, 101, 155]",256,fibonacci
"[28, 23, 18, 69, 110, 197]",376,tribonacci
"[13, 56, 185, 572, 1733, 5216]",15665,linear_recursive
"[38, 31, 69, 100, 169, 269]",438,fibonacci
"[30, 41, 47, 118, 206, 371]",695,tribonacci
"[11, 20, 3, 31, 23, 34]",54,padovan
"[37, 17, 19, 73, 109, 201]",383,tribonacci
"[88, 78, 79, 69, 70, 60]",61,alternating_add_subtract
"[47, 49, 53, 59, 67, 77]",89,step_up
"[22, 17, 27, 66, 110, 203]",379,tribonacci
"[22, 32, 128, 138, 552, 562]",2248,alternating_sequence
"[8, 3, 17, 11, 20, 28]",31,padovan
"[11, 8, 15, 26, 34, 49]",75,generate_sequence
"[14, 1, 3, 15, 4, 18]",19,padovan
"[22, 116, 586, 2936, 14686, 73436]",367186,linear_recursive
"[20, 12, 8, 32, 20, 40]",52,padovan
"[4, 7, 13, 22, 34, 49]",67,step_up
"[8, 11, 1, 19, 12, 20]",31,padovan
"[6, 4, 6, 12, 16, 22]",34,generate_sequence
"[23, 18, 23, 18, 23, 18]",23,alternating_add_subtract
"[17, 44, 98, 206, 422, 854]",1718,linear_recursive
"[37, 19, 22, 78, 119, 219]",416,tribonacci
"[47, 45, 53, 51, 59, 57]",65,alternating_add_subtract
"[12, 4, 3, 16, 7, 19]",23,padovan
"[23, 43, 86, 106, 212, 232]",464,alternating_sequence
"[5, 15, 16, 21, 36, 52]",73,generate_sequence
