sequence,target,function,tier
"[80, 71, 76, 67, 72, 63]",68,alternating_add_subtract,2
"[22, 26, 48, 74, 122, 196]",318,fibonacci,2
"[15, 21, 28, 36, 45, 55]",66,triangular_sequence_randomized,2
"[89, 54, 19, -16, -51, -86]",-121,arithmetic,3
"[7, 18, 10, 25, 28, 35]",53,padovan,3
"[56, 58, 62, 68, 76, 86]",98,step_up,2
"[12, 17, 7, 19, 36, 43]",62,generate_sequence,2
"[43, 47, 94, 98, 196, 200]",400,alternating_sequence,2
"[9, 40, 133, 412, 1249, 3760]",11293,linear_recursive,2
"[19, 13, 17, 32, 30, 49]",62,padovan,3
"[22, 21, 29, 28, 36, 35]",43,alternating_add_subtract,2
"[31, 36, 41, 46, 51, 56]",61,arithmetic,3
"[91, 105, 120, 136, 153, 171]",190,triangular_sequence_randomized,2
"[26, 30, 90, 94, 282, 286]",858,alternating_sequence,2
"[5, 40, 45, 85, 130, 215]",345,fibonacci,2
"[39, 36, 14, 89, 139, 242]",470,tribonacci,2
"[17, 12, 8, 25, 37, 45]",70,generate_sequence,2
"[69, 57, 45, 33, 21, 9]",-3,arithmetic,3
"[26, 124, 516, 2084, 8356, 33444]",133796,linear_recursive,2
"[15, 17, 6, 32, 23, 38]",55,padovan,3
"[62, 90, 118, 146, 174, 202]",230,arithmetic,3
"[3, 17, 4, 20, 21, 24]",41,padovan,3
"[11, 2, 20, 13, 22, 33]",35,padovan,3
"[8, 14, 10, 22, 24, 32]",46,padovan,3
"[3, 20, 3, 23, 23, 26]",46,padovan,3
"[29, -29, 29, -29, 29, -29]",29,geometric,2
"[4, 4, 3, 2, 0, -3]",-8,fib_minus_const,1
"[8, 14, 7, 22, 21, 29]",43,padovan,3
"[19, 48, 39, 106, 193, 338]",637,tribonacci,2
"[6, 49, 104, 257, 618, 1493]",3604,pell,2
"[17, 17, 10, 34, 27, 44]",61,padovan,3
"[1, -4, 16, -64, 256, -1024]",4096,geometric,2
"[17, 44, 71, 98, 125, 152]",179,arithmetic,3
"[27, 33, 165, 171, 855, 861]",4305,alternating_sequence,2
"[7, 5, 4, 11, 16, 20]",31,generate_sequence,2
"[33, 38, 48, 63, 83, 108]",138,step_up,2
"[61, 64, 70, 79, 91, 106]",124,step_up,2
"[105, 120, 136, 153, 171, 190]",210,triangular_sequence_randomized,2
"[1, 9, 5, 10, 14, 15]",24,padovan,3
"[79, 87, 95, 103, 111, 119]",127,arithmetic,3
"[50, 70, 90, 110, 130, 150]",170,arithmetic,3
"[63, 17, -29, -75, -121, -167]",-213,arithmetic,3
"[41, 45, 53, 65, 81, 101]",125,step_up,2
"[27, 135, 675, 3375, 16875, 84375]",421875,geometric,2
"[59, 72, 85, 98, 111, 124]",137,arithmetic,3
"[9, -7, -23, -39, -55, -71]",-87,arithmetic,3
"[45, 135, 405, 1215, 3645, 10935]",32805,geometric,2
"[98, 134, 170, 206, 242, 278]",314,arithmetic,3
"[4, 4, 4, 4, 4, 4]",4,geometric,2
"[3, 25, 113, 465, 1873, 7505]",30033,linear_recursive,2
"[12, 25, 37, 62, 99, 161]",260,fibonacci,2
"[17, 18, 7, 35, 25, 42]",60,padovan,3
"[6, 45, 96, 237, 570, 1377]",3324,pell,2
"[2, 1, 1, 0, -1, -3]",-6,fib_minus_const,1
"[6, 11, 8, 17, 19, 25]",36,padovan,3
"[82, 34, -14, -62, -110, -158]",-206,arithmetic,3
"[66, 59, 67, 60, 68, 61]",69,alternating_add_subtract,2
"[44, 49, 142, 333, 808, 1949]",4706,pell,2
"[23, 46, 92, 184, 368, 736]",1472,geometric,2
"[24, 48, 96, 192, 384, 768]",1536,geometric,2
"[43, 49, 147, 153, 459, 465]",1395,alternating_sequence,2
"[6, 5, 11, 16, 27, 43]",70,fibonacci,2
"[41, 19, 79, 177, 433, 1043]",2519,pell,2
"[41, 14, -13, -40, -67, -94]",-121,arithmetic,3
"[78, 56, 34, 12, -10, -32]",-54,arithmetic,3
"[13, 9, 7, 22, 16, 29]",38,padovan,3
"[13, 20, 6, 33, 26, 39]",59,padovan,3
"[3, 16, 16, 19, 32, 35]",51,padovan,3
"[3, 23, 63, 143, 303, 623]",1263,linear_recursive,2
"[96, 93, 90, 87, 84, 81]",78,arithmetic,3
"[28, 36, 45, 55, 66, 78]",91,triangular_sequence_randomized,2
"[14, 17, 23, 32, 44, 59]",77,step_up,2
"[34, 113, 350, 1061, 3194, 9593]",28790,linear_recursive,2
"[14, 9, 23, 32, 55, 87]",142,fibonacci,2
"[21, 36, 72, 87, 174, 189]",378,alternating_sequence,2
"[10, 1, 20, 30, 31, 51]",81,generate_sequence,2
"[11, 7, 16, 12, 21, 17]",26,alternating_add_subtract,2
"[9, 11, 8, 17, 28, 36]",53,generate_sequence,2
"[47, 20, 87, 194, 475, 1144]",2763,pell,2
"[17, 35, 52, 87, 139, 226]",365,fibonacci,2
"[13, 78, 403, 2028, 10153, 50778]",253903,linear_recursive,2
"[44, 229, 1154, 5779, 28904, 144529]",722654,linear_recursive,2
"[15, 38, 91, 220, 531, 1282]",3095,pell,2
"[17, -3, -23, -43, -63, -83]",-103,arithmetic,3
"[44, 22, 88, 198, 484, 1166]",2816,pell,2
"[7, 25, 75, 93, 279, 297]",891,alternating_sequence,2
"[19, 41, 101, 243, 587, 1417]",3421,pell,2
"[40, 120, 360, 1080, 3240, 9720]",29160,geometric,2
"[49, 0, 0, 0, 0, 0]",0,geometric,2
"[4, 23, 26, 53, 102, 181]",336,tribonacci,2
"[55, 66, 78, 91, 105, 120]",136,triangular_sequence_randomized,2
"[44, 49, 59, 74, 94, 119]",149,step_up,2
"[55, 56, 58, 61, 65, 70]",76,step_up,2
"[31, 35, 101, 237, 575, 1387]",3349,pell,2
"[23, 5, 28, 33, 61, 94]",155,fibonacci,2
"[3, 16, 68, 276, 1108, 4436]",17748,linear_recursive,2
"[45, 20, 44, 109, 173, 326]",608,tribonacci,2
"[19, 14, 3, 33, 17, 36]",50,padovan,3
"[37, 10, 47, 57, 104, 161]",265,fibonacci,2
"[77, 79, 81, 83, 85, 87]",89,arithmetic,3
"[18, 4, 6, 22, 10, 28]",32,padovan,3
"[69, 34, -1, -36, -71, -106]",-141,arithmetic,3
"[16, 66, 116, 166, 216, 266]",316,arithmetic,3
"[48, 50, 54, 60, 68, 78]",90,step_up,2
"[6, 29, 121, 489, 1961, 7849]",31401,linear_recursive,2
"[4, 5, 7, 9, 12, 16]",21,padovan,3
"[23, 24, 72, 73, 219, 220]",660,alternating_sequence,2
"[6, 2, 2, 8, 4, 10]",12,padovan,3
"[37, 37, 37, 37, 37, 37]",37,geometric,2
"[27, 7, 44, 78, 129, 251]",458,tribonacci,2
"[9, 19, 8, 17, 36, 44]",61,generate_sequence,2
"[14, 3, 4, 18, 21, 25]",43,generate_sequence,2
"[87, 90, 93, 96, 99, 102]",105,arithmetic,3
"[37, 19, 1, -17, -35, -53]",-71,arithmetic,3
"[6, 7, 17, 13, 24, 30]",37,padovan,3
"[4, -12, 36, -108, 324, -972]",2916,geometric,2
"[15, 9, 24, 33, 57, 90]",147,fibonacci,2
"[7, 26, 33, 59, 92, 151]",243,fibonacci,2
"[57, 61, 69, 81, 97, 117]",141,step_up,2
"[19, 19, 2, 21, 40, 42]",63,generate_sequence,2
"[8, 23, 115, 130, 650, 665]",3325,alternating_sequence,2
"[24, 27, 51, 78, 129, 207]",336,fibonacci,2
"[3, 10, 12, 21, 32, 52]",83,fib_minus_const,1
"[3, 19, 3, 22, 22, 25]",44,padovan,3
"[6, 14, 18, 20, 32, 38]",52,padovan,3
"[47, 150, 459, 1386, 4167, 12510]",37539,linear_recursive,2
"[1, 12, 1, 13, 13, 14]",26,padovan,3
"[2, 15, 19, 17, 34, 36]",51,padovan,3
"[24, 39, 48, 111, 198, 357]",666,tribonacci,2
"[100, 94, 104, 98, 108, 102]",112,alternating_add_subtract,2
"[40, 98, 214, 446, 910, 1838]",3694,linear_recursive,2
"[16, -6, -28, -50, -72, -94]",-116,arithmetic,3
"[44, 68, 92, 116, 140, 164]",188,arithmetic,3
"[6, 10, 15, 21, 28, 36]",45,triangular_sequence_randomized,2
"[33, 31, 33, 31, 33, 31]",33,alternating_add_subtract,2
"[4, 7, 28, 31, 124, 127]",508,alternating_sequence,2
"[28, 84, 252, 756, 2268, 6804]",20412,geometric,2
"[41, 173, 701, 2813, 11261, 45053]",180221,linear_recursive,2
"[95, 136, 177, 218, 259, 300]",341,arithmetic,3
"[19, 5, 16, 35, 40, 56]",91,generate_sequence,2
"[35, 49, 50, 134, 233, 417]",784,tribonacci,2
"[11, 7, 8, 4, 5, 1]",2,alternating_add_subtract,2
"[95, 116, 137, 158, 179, 200]",221,arithmetic,3
"[35, 30, 95, 220, 535, 1290]",3115,pell,2
"[36, 33, 39, 36, 42, 39]",45,alternating_add_subtract,2
"[14, -13, -40, -67, -94, -121]",-148,arithmetic,3
"[26, 46, 118, 282, 682, 1646]",3974,pell,2
"[5, 4, 10, 15, 19, 29]",44,generate_sequence,2
"[10, 19, 16, 29, 35, 45]",64,padovan,3
"[9, 9, 15, 21, 33, 51]",81,fib_minus_const,1
"[6, 20, 16, 26, 36, 42]",62,padovan,3
"[63, 67, 75, 87, 103, 123]",147,step_up,2
"[60, 52, 55, 47, 50, 42]",45,alternating_add_subtract,2
"[7, 10, 40, 43, 172, 175]",700,alternating_sequence,2
"[36, 18, 54, 72, 126, 198]",324,fibonacci,2
"[22, 28, 56, 62, 124, 130]",260,alternating_sequence,2
"[41, 49, 49, 139, 237, 425]",801,tribonacci,2
"[18, 18, 13, 31, 49, 62]",93,generate_sequence,2
"[51, 46, 47, 42, 43, 38]",39,alternating_add_subtract,2
"[85, 81, 88, 84, 91, 87]",94,alternating_add_subtract,2
"[78, 91, 105, 120, 136, 153]",171,triangular_sequence_randomized,2
"[8, 4, 12, 16, 28, 44]",72,fibonacci,2
"[25, 75, 225, 675, 2025, 6075]",18225,geometric,2
"[33, 11, 44, 55, 99, 154]",253,fibonacci,2
"[15, 19, 18, 34, 37, 52]",71,padovan,3
"[6, 17, 39, 83, 171, 347]",699,linear_recursive,2
"[92, 126, 160, 194, 228, 262]",296,arithmetic,3
"[18, -36, 72, -144, 288, -576]",1152,geometric,2
"[44, 15, 31, 90, 136, 257]",483,tribonacci,2
"[17, 23, 40, 63, 103, 166]",269,fibonacci,2
"[1, 1, 3, 7, 17, 41]",99,pell,2
"[21, 25, 46, 71, 117, 188]",305,fibonacci,2
"[11, 13, 24, 37, 61, 98]",159,fibonacci,2
"[136, 153, 171, 190, 210, 231]",253,triangular_sequence_randomized,2
"[97, 96, 102, 101, 107, 106]",112,alternating_add_subtract,2
"[7, 5, 19, 12, 24, 31]",36,padovan,3
"[13, 20, 33, 53, 86, 139]",225,fibonacci,2
"[6, 19, 2, 8, 27, 29]",37,generate_sequence,2
"[15, 30, 60, 120, 240, 480]",960,geometric,2
"[41, 46, 56, 71, 91, 116]",146,step_up,2
"[3, 1, 4, 5, 9, 14]",23,fibonacci,2
"[5, 16, 21, 37, 58, 95]",153,fibonacci,2
"[22, 90, 362, 1450, 5802, 23210]",92842,linear_recursive,2
"[76, 72, 77, 73, 78, 74]",79,alternating_add_subtract,2
"[90, 133, 176, 219, 262, 305]",348,arithmetic,3
"[26, 58, 90, 122, 154, 186]",218,arithmetic,3
"[31, 39, 195, 203, 1015, 1023]",5115,alternating_sequence,2
"[72, 66, 70, 64, 68, 62]",66,alternating_add_subtract,2
"[1, 3, 11, 4, 14, 15]",18,padovan,3
"[15, 36, 9, 60, 105, 174]",339,tribonacci,2
"[36, 182, 912, 4562, 22812, 114062]",570312,linear_recursive,2
"[9, -27, -63, -99, -135, -171]",-207,arithmetic,3
"[41, 45, 90, 94, 188, 192]",384,alternating_sequence,2
"[1, 18, 52, 120, 256, 528]",1072,linear_recursive,2
"[3, 6, 10, 15, 21, 28]",36,triangular_sequence_randomized,2
"[38, -76, 152, -304, 608, -1216]",2432,geometric,2
"[29, 29, 29, 29, 29, 29]",29,geometric,2
"[14, 12, 3, 26, 15, 29]",41,padovan,3
"[14, 8, 2, -4, -10, -16]",-22,arithmetic,3
"[51, 47, 49, 45, 47, 43]",45,alternating_add_subtract,2
"[11, 15, 23, 35, 51, 71]",95,step_up,2
"[46, 144, 438, 1320, 3966, 11904]",35718,linear_recursive,2
"[40, 30, 34, 24, 28, 18]",22,alternating_add_subtract,2
"[16, 50, 152, 458, 1376, 4130]",12392,linear_recursive,2
"[19, 19, 19, 19, 19, 19]",19,geometric,2
"[1, 8, 22, 50, 106, 218]",442,linear_recursive,2
"[27, 22, 49, 71, 120, 191]",311,fibonacci,2
"[40, 12, 64, 140, 344, 828]",2000,pell,2
"[13, 9, 10, 23, 32, 42]",65,generate_sequence,2
"[36, 49, 98, 111, 222, 235]",470,alternating_sequence,2
"[34, 17, 68, 153, 374, 901]",2176,pell,2
"[25, 38, 63, 101, 164, 265]",429,fibonacci,2
"[69, 67, 73, 71, 77, 75]",81,alternating_add_subtract,2
"[5, 6, 11, 11, 17, 22]",28,padovan,3
"[42, 6, -30, -66, -102, -138]",-174,arithmetic,3
"[27, 29, 31, 33, 35, 37]",39,arithmetic,3
"[19, 5, 7, 26, 31, 38]",64,generate_sequence,2
"[25, 28, 34, 43, 55, 70]",88,step_up,2
"[44, 58, 116, 130, 260, 274]",548,alternating_sequence,2
"[12, 42, 96, 234, 564, 1362]",3288,pell,2
"[59, 64, 74, 89, 109, 134]",164,step_up,2
"[43, 52, 260, 269, 1345, 1354]",6770,alternating_sequence,2
"[51, 53, 57, 63, 71, 81]",93,step_up,2
"[25, 29, 87, 91, 273, 277]",831,alternating_sequence,2
"[22, 4, 26, 30, 56, 86]",142,fibonacci,2
"[8, 6, 11, 14, 22, 33]",52,fib_minus_const,1
"[44, 18, 28, 90, 136, 254]",480,tribonacci,2
"[12, 32, 128, 148, 592, 612]",2448,alternating_sequence,2
"[14, 1, 15, 16, 31, 47]",78,fibonacci,2
"[24, 5, 29, 34, 63, 97]",160,fibonacci,2
"[77, 42, 7, -28, -63, -98]",-133,arithmetic,3
"[28, 1, -26, -53, -80, -107]",-134,arithmetic,3
"[39, 46, 131, 308, 747, 1802]",4351,pell,2
"[10, 25, 24, 59, 108, 191]",358,tribonacci,2
"[76, 125, 174, 223, 272, 321]",370,arithmetic,3
"[81, 96, 111, 126, 141, 156]",171,arithmetic,3
"[10, 4, 1, 11, 15, 16]",27,generate_sequence,2
"[33, 6, 45, 96, 237, 570]",1377,pell,2
"[44, 28, 20, 92, 140, 252]",484,tribonacci,2
"[39, 45, 225, 231, 1155, 1161]",5805,alternating_sequence,2
"[43, -129, 387, -1161, 3483, -10449]",31347,geometric,2
"[4, 20, 44, 108, 260, 628]",1516,pell,2
"[13, 7, 20, 20, 27, 40]",47,padovan,3
"[69, 116, 163, 210, 257, 304]",351,arithmetic,3
"[16, 32, 48, 80, 128, 208]",336,fibonacci,2
"[20, 26, 32, 38, 44, 50]",56,arithmetic,3
"[6, 9, 2, 8, 17, 19]",27,generate_sequence,2
"[36, 40, 48, 60, 76, 96]",120,step_up,2
"[37, 119, 365, 1103, 3317, 9959]",29885,linear_recursive,2
"[6, 3, 4, 10, 13, 17]",27,generate_sequence,2
"[5, 11, 22, 38, 71, 131]",240,tribonacci,2
"[62, 64, 68, 74, 82, 92]",104,step_up,2
"[1, 19, 4, 20, 23, 24]",43,padovan,3
"[11, 20, 51, 122, 295, 712]",1719,pell,2
"[12, 7, 20, 19, 27, 39]",46,padovan,3
"[9, 7, 12, 15, 23, 34]",53,fib_minus_const,1
"[38, 125, 386, 1169, 3518, 10565]",31706,linear_recursive,2
"[6, 11, 5, 11, 22, 27]",38,generate_sequence,2
"[67, 61, 71, 65, 75, 69]",79,alternating_add_subtract,2
"[35, 43, 121, 285, 691, 1667]",4025,pell,2
"[2, 43, 88, 219, 526, 1271]",3068,pell,2
"[16, 20, 36, 56, 92, 148]",240,fibonacci,2
"[2, 19, 6, 27, 52, 85]",164,tribonacci,2
"[19, 68, 215, 656, 1979, 5948]",17855,linear_recursive,2
"[35, 105, 315, 945, 2835, 8505]",25515,geometric,2
"[23, 30, 90, 97, 291, 298]",894,alternating_sequence,2
"[6, 3, 4, 9, 7, 13]",16,padovan,3
"[1, 3, 19, 20, 23, 42]",62,generate_sequence,2
"[5, 14, 11, 19, 25, 30]",44,padovan,3
"[2, -10, 50, -250, 1250, -6250]",31250,geometric,2
"[12, 9, 17, 21, 26, 38]",47,padovan,3
"[5, 3, 14, 8, 17, 22]",25,padovan,3
"[16, 10, 15, 26, 25, 41]",51,padovan,3
"[2, 13, 16, 15, 29, 31]",44,padovan,3
"[88, 83, 78, 73, 68, 63]",58,arithmetic,3
"[15, 26, 78, 89, 267, 278]",834,alternating_sequence,2
"[96, 93, 98, 95, 100, 97]",102,alternating_add_subtract,2
"[32, -128, 512, -2048, 8192, -32768]",131072,geometric,2
"[88, 81, 84, 77, 80, 73]",76,alternating_add_subtract,2
"[35, 36, 38, 41, 45, 50]",56,step_up,2
"[7, -38, -83, -128, -173, -218]",-263,arithmetic,3
"[15, 8, 19, 23, 27, 42]",50,padovan,3
"[13, 38, 89, 216, 521, 1258]",3037,pell,2
"[24, 27, 29, 80, 136, 245]",461,tribonacci,2
"[11, -8, -27, -46, -65, -84]",-103,arithmetic,3
"[6, 28, 62, 152, 366, 884]",2134,pell,2
"[59, 61, 65, 71, 79, 89]",101,step_up,2
"[16, 23, 46, 53, 106, 113]",226,alternating_sequence,2
"[32, 48, 144, 160, 480, 496]",1488,alternating_sequence,2
"[5, 10, 15, 30, 55, 100]",185,tribonacci,2
"[37, 57, 114, 134, 268, 288]",576,alternating_sequence,2
"[42, 44, 132, 134, 402, 404]",1212,alternating_sequence,2
"[27, 37, 24, 88, 149, 261]",498,tribonacci,2
"[75, 33, -9, -51, -93, -135]",-177,arithmetic,3
"[7, 7, 13, 19, 31, 49]",79,fib_minus_const,1
"[53, 47, 48, 42, 43, 37]",38,alternating_add_subtract,2
"[10, 7, 14, 18, 29, 44]",70,fib_minus_const,1
"[66, 99, 132, 165, 198, 231]",264,arithmetic,3
"[39, 70, 101, 132, 163, 194]",225,arithmetic,3
"[10, 15, 12, 25, 27, 37]",52,padovan,3
"[2, 10, 9, 16, 22, 35]",54,fib_minus_const,1
"[60, 51, 60, 51, 60, 51]",60,alternating_add_subtract,2
"[4, 8, 16, 28, 44, 64]",88,step_up,2
"[6, 5, 13, 12, 20, 19]",27,alternating_add_subtract,2
"[45, 48, 54, 63, 75, 90]",108,step_up,2
"[35, 36, 180, 181, 905, 906]",4530,alternating_sequence,2
"[11, 48, 107, 262, 631, 1524]",3679,pell,2
"[1, 10, 20, 29, 58, 67]",134,alternating_sequence,2
"[15, 50, 6, 71, 127, 204]",402,tribonacci,2
"[76, 100, 124, 148, 172, 196]",220,arithmetic,3
"[9, 29, 89, 269, 809, 2429]",7289,linear_recursive,2
"[45, 48, 240, 243, 1215, 1218]",6090,alternating_sequence,2
"[28, 31, 155, 158, 790, 793]",3965,alternating_sequence,2
"[12, 10, 22, 32, 54, 86]",140,fibonacci,2
"[12, 2, 1, 14, 3, 15]",17,padovan,3
"[82, 84, 86, 88, 90, 92]",94,arithmetic,3
"[4, 7, 46, 57, 110, 213]",380,tribonacci,2
"[40, 160, 640, 2560, 10240, 40960]",163840,geometric,2
"[24, 23, 70, 163, 396, 955]",2306,pell,2
"[15, 20, 55, 130, 315, 760]",1835,pell,2
"[97, 92, 96, 91, 95, 90]",94,alternating_add_subtract,2
"[5, 20, 80, 95, 380, 395]",1580,alternating_sequence,2
"[5, 25, 125, 625, 3125, 15625]",78125,geometric,2
"[19, 57, 133, 285, 589, 1197]",2413,linear_recursive,2
"[5, 15, 45, 135, 405, 1215]",3645,geometric,2
"[5, 9, 8, 14, 17, 22]",31,padovan,3
"[18, 13, 31, 44, 75, 119]",194,fibonacci,2
"[11, 0, 0, 0, 0, 0]",0,geometric,2
"[50, 11, 3, 64, 78, 145]",287,tribonacci,2
"[34, 9, 14, 57, 80, 151]",288,tribonacci,2
"[35, 4, -27, -58, -89, -120]",-151,arithmetic,3
